Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"According to ICS ATT&CK, which technique involves modifying data or configurations to cause an operational impact upon decryption?",T1484 - Data Encrypted for Impact,T1094 - Credential Dumping,T1190 - Remote Desktop Protocol (RDP),T1560 - Steal Web Session Cookie,A,"Data Encrypted for Impact aims to encrypt critical data or configurations, rendering them inaccessible until the decryption key is acquired, causing operational disruptions."
"In Mobile ATT&CK, which technique describes exploiting a vulnerability in a component of a mobile device to establish remote access?",T1223 - Lateral Movement: Exploit Remote Services,T1078 - Valid Accounts,T1452 - Download and Execute,T1556 - Capture Audio,A,"Exploiting Remote Services involves identifying and taking advantage of vulnerabilities in network-facing components of a mobile device, enabling attackers to establish remote control over the device."
Which of the following is NOT a benefit of using the NIST Cybersecurity Framework (CSF)?,Provides a structured approach to cybersecurity risk management,Helps organizations comply with regulatory requirements,Guarantees complete protection against all cyber threats,Facilitates stakeholder communication and coordination,C,"While the CSF offers numerous benefits, it does not guarantee absolute protection against all cybersecurity threats, as threats are constantly evolving."
"The CSF's ""Core"" component comprises how many functions?",4,5,6,7,B,
Which of the following is a common method used in password cracking?,Dictionary attack,Brute force attack,Rainbow table attack,All of the above,D,"All of the listed methods are commonly used in password cracking. Dictionary attacks use a list of common passwords, brute force attacks try every possible password combination, and rainbow table attacks pre-compute hashes for common passwords."
Which of the following industries is a prime target for device firmware modification attacks?,Healthcare,Manufacturing,Finance,Education,B,"Manufacturing industries rely heavily on industrial control systems (ICS), which are often vulnerable to firmware modification attacks that could disrupt operations or cause physical damage."
What is a key challenge when detecting lateral movement via local network credentials?,Identifying valid logins from malicious credential reuse,Tracking user activity across multiple network segments,Determining the source of the credential compromise,Preventing the attacker from gaining privileged access,A,"Distinguishing between legitimate logins and malicious credential reuse can be difficult, especially in environments with multiple users and complex network configurations."
Which of the following is a common misconfiguration that can expose ICS systems to remote access from the internet?,Leaving remote desktop protocol (RDP) ports open,Exposing internal IP addresses on the web,Failing to patch known vulnerabilities,Using default administrative credentials,B,"Exposing internal IP addresses on the web allows attackers to discover and target ICS systems directly from the internet, bypassing external firewalls and other security measures."
Which of the following is a potential indicator of compromise (IOC) for file deletion?,Presence of a specific malware binary,Unexplained changes in file properties,Creation of new files in unexpected locations,Network traffic to known malicious domains,B,
Which of the following techniques describes an adversary's attempt to manipulate the system time to evade detection or disrupt time-based security controls?,System Time Manipulation,Memory Modification,Registry Modification,File Deletion,A,System Time Manipulation involves modifying the system time to bypass time-based controls or to create gaps in logging data.
Which of the following methods can be used by an adversary to gain illegitimate access to a mobile device?,Social Engineering,Brute Force,Side Channel Attacks,Use of Legitimate Credentials,"A, B, D","Multiple techniques can be used to gain access to mobile devices, including social engineering, brute force attacks for weak passwords, and the use of legitimate credentials acquired through phishing or social engineering."
 Which of the following is a key indicator of an adversary targeting an industrial control system (ICS) environment?,Unusual network activity on the human-machine interface (HMI),Unfamiliar IP addresses connecting to critical control systems,Presence of unexpected or unauthorized software,All of the above,D,"ICS environments are highly specialized, and any unusual or unauthorized activity can be an indicator of a cyberattack."
Which of the following is a method used by adversaries to avoid detection by endpoint security solutions?,Process Injection,Rootkit Installation,Privilege Escalation,Network Reconnaissance,"A, B",Process Injection and Rootkit Installation are both techniques that allow adversaries to bypass endpoint security mechanisms and execute malicious code on the target system.
Which of the following is a common phishing tactic used by adversaries to trick mobile users into providing sensitive information?,Sending emails that appear to be from legitimate organizations,Embedding malicious links or attachments in text messages,Creating fake websites that mimic legitimate ones,All of the above,D,
Which NIST Cybersecurity Framework core function is primarily responsible for incident detection and response coordination?,Protect,Detect,Respond,Identify,B,
Which of the following MITRE ATT&CK pattern techniques involves modifying data structures to bypass security controls?,Input Validation,Lateral Movement,Credential Access,Resource Hijacking,A,"Input Validation (T1110) modifies user-supplied input to bypass security measures, potentially allowing the attacker to manipulate or corrupt data structures."
"A threat actor has compromised an industrial control system (ICS) network. Which of the following MITRE ATT&CK pattern techniques is most likely being used to target the ICS's Supervisory Control and Data Acquisition (SCADA) system?
",Spearphishing,Exploitation of Remote Services,Resource Development,Network Service Reconnaissance,B,"Exploitation of Remote Services (T1190) involves exploiting vulnerabilities in remote services, such as SCADA systems, to gain unauthorized access to the underlying network."
An attacker has gained access to a mobile device and is attempting to exfiltrate data without triggering security alerts. Which of the following MITRE ATT&CK pattern techniques is being used?,File and Directory Discovery,Exfiltration Over Command and Control Channel,Credential Dumping,Process Discovery,B,"Exfiltration Over Command and Control Channel (T1048) allows attackers to covertly transmit sensitive data over an established command and control channel, evading detection by security mechanisms."
"Which NIST Cybersecurity Framework Subcategory addresses the establishment of roles and responsibilities for cybersecurity management?
",Risk Management,Governance,Identity Management and Access Control,Configuration Management,B,"The Governance Subcategory (PR.GO) defines the roles and responsibilities for managing cybersecurity, ensuring that there is clear accountability and decision-making authority."
"In the context of the NIST Cybersecurity Framework, which of the following is the recommended approach to cybersecurity risk assessment?
","Use of static, predetermined risk levels","Periodic, threat-led assessments","Continual, real-time monitoring",Risk assessment performed only upon major changes,B,
Which MITRE ATT&CK technique involves modifying properties of a file to bypass access control mechanisms?,File and Directory Permissions Modification,Symbolic Link Creation,Resource Hijacking,Create or Modify System Process,A,This technique (T1074) involves modifying file permissions to allow unauthorized users to access or modify restricted resources.
What is a characteristic of the reconnaissance technique used by threat actors to gather information about a target network before a cyb,Utilizes network scanning tools to identify open ports,Requires physical access to target devices,Leverages social engineering tactics to gain trust,Exploits software vulnerabilities to gain access,A,Reconnaissance involves using automated tools to scan networks for open ports and vulnerabilities (T1046).
Which of the following is a mitigation strategy against the privilege escalation technique where an attacker exploits a vulnerability to elevate privileges on a mobile device?,Patching operating systems and apps regularly,Implementing multi-factor authentication,Disabling USB debugging,Using a virtual private network (VPN),C,Disabling USB debugging closes a potential entry point for privilege escalation (T1068).
"In the context of ICS cybersecurity, which of the following techniques is used by threat actors to disrupt or manipulate industrial processes?",Credential Access,Command and Control,ICS Attack Pattern Discovery,Lateral Movement,C,ICS Attack Pattern Discovery (T1078) involves identifying vulnerabilities in ICS devices to execute malicious actions.
Which technique is characterized by the malicious encryption of files to extort victims into paying ransoms?,Ransomware,Phishing,Denial-of-Service,Man-in-the-Middle,A,Ransomware (T1486) is a type of malware that encrypts files and demands payment to restore access.
"According to MITRE ATT&CK (Enterprise), which technique ID is used when an adversary exploits software flaws or misconfigurations to gain access to a target system? (T1190: Exploitation for Privilege Escalation)",T1190,T1210,T1220,T1230,A,
"In the context of ICS cybersecurity, which MITRE ATT&CK technique ID represents the use of phishing emails to trick victims into providing sensitive information? (T1598: Phishing)",T1498,T1598,T1688,T1798,B,
Which stage of the MITRE ATT&CK framework involves identifying and assessing potential threats to an organization? (Pre-Attack),Reconnaissance,Intrusion,Installation,Lateral Movement,A,
"According to MITRE ATT&CK (Mobile), which technique ID is assigned to adversary actions that leverage malicious social media posts to spread malware or phishing links? (T1166: Social Engineering Techniques)",T1156,T1166,T1176,T1186,B,
"In the MITRE ATT&CK framework, which technique ID describes an adversary's attempt to obtain credentials by intercepting and manipulating HTTP traffic? (T1133: Credential Access: Network Sniffing)",T1123,T1133,T1143,T1153,B,
"In the MITRE ATT&CK Enterprise context, which technique enables an adversary to maintain persistence by leveraging legitimate tools or services? (Persistent Presence: [T1193] OS Credential Dumping)",Remote Desktop Protocol,Scheduled Task,Azure Active Directory,PowerShell,B,Scheduled Task is a legitimate tool that can be leveraged by adversaries to maintain persistence on a system.
"In the MITRE ATT&CK ICS context, which technique involves adversaries using a legitimate wireless connection to gain access to the control network of an industrial process? (Lateral Movement: [T1097] Valid Accounts)",Wireless Access Point (WAP),Bluetooth,GSM,NFC,A,Wireless Access Point (WAP) is a component of a wireless network that can be exploited by adversaries to gain access to the control network of an industrial process.
"In the MITRE ATT&CK Mobile context, which technique enables an adversary to escalate privileges by exploiting a vulnerability in the operating system? (Privilege Escalation: [T1068] Local Privilege Escalation)",Brute Force,CVE,Jailbreaking,Rootkit,B,CVE (Common Vulnerabilities and Exposures) are vulnerabilities in the operating system that can be exploited by adversaries to escalate privileges.
Which of the following is a key principle of the NIST Cybersecurity Framework? (NA),Identify,Protect,Develop,Investigate,A,Identify is the first principle of the NIST Cybersecurity Framework and involves understanding cybersecurity risks.
"In the context of the NIST Cybersecurity Framework, which function is responsible for defining the scope, assessment criteria, and methodology for cybersecurity risk assessments? (Risk Assessment: [PR.RA-1] Risk Assessment Planning)",Risk Management,Threat Intelligence,Vulnerability Management,Incident Response,A,
Which technique involves creating a duplicate authorization or logon token to bypass authentication controls?,Brute Force,Kerberoasting,Pass the Hash,SQL Injection,C,Pass the Hash (T1075) involves stealing the hash of a user's password and using it to create a duplicate authentication token.
Which technique allows an attacker to record and replay interactions between a user and an application?,Application Fingerprinting,Mobile Device Emulation,Screen Scraping,Side Channel Analysis,C,"Screen Scraping (T1523) involves recording and replaying a user's interactions with an application, allowing an attacker to extract sensitive data."
"Which core category focuses on protecting against threats that could disrupt or damage an organization's services, operations, or assets?
",Risk Management,Infrastructure Security,Incident Response,Operations Security,B,"Infrastructure Security (ID.RA) aims to protect critical infrastructure elements from disruption, damage, or unauthorized access."
Which technique involves modifying a device's firmware to gain persistent access and control?,Firmware Modification,Remote Access Tool,Exploit Public-Facing Application,Spear Phishing,A,"Firmware Modification (T1564) involves altering the firmware of a device, typically to gain persistent access or modify its functionality."
"Which technique allows an attacker to escalate privileges by exploiting a vulnerability in an application's code?
",Privilege Escalation,DLL Hijacking,Shellcode Injection,Credential Theft,A,
Which adversary tactic is used to establish a beacon to remotely control an infected system? **(Mobile)**,Credential Access,Discovery,Command and Control,Collection,C,Command and Control (TA0011) involves establishing and maintaining communication channels with an attacker-controlled server or infrastructure to remotely monitor and control the infected system.
"According to MITRE ATT&CK, which category of techniques deals with modifying or disabling defensive mechanisms to avoid detection?",Discovery,Defense Evasion,Persistence,Privilege Escalation,B,"T1119.002 (Indicator Removal on Host) falls under the Defense Evasion category, which includes techniques for evading security controls and detection mechanisms."
Which of the following is a common approach used by adversaries to hide malicious payloads within legitimate files?,Base64 encoding,Static linking,Runtime code injection,Binary obfuscation,A,"T1544.001 (Obfuscated Files or Information) involves the use of techniques like Base64 encoding to conceal malicious content within legitimate files, making it harder for security systems to detect."
"In the context of insider attacks, which of the following is NOT a common motivation?",Financial gain,Espionage,Personal vendetta,System improvement,D,"Insider attacks are typically driven by malicious intent, including financial gain, espionage, or personal vendetta. System improvement is not a common motivation for insider threats."
Which of the following is a key challenge in securing Industrial Control Systems (ICS)?,Lack of visibility into OT assets,Limited patching capabilities,High connectivity between devices,All of the above,D,"Securing ICS environments poses unique challenges due to the combination of lack of visibility into OT assets, limited patching capabilities, and the high connectivity between devices, increasing the risk of cyber attacks."
Phishing attacks typically target which of the following to compromise user credentials?,Email accounts,Social media profiles,Bank accounts,All of the above,D,
"In the context of ICS, which technique involves the exfiltration of information via a command and control channel established by malware?",Credential Harvesting,Command and Control,Data Exfiltration,Lateral Movement,B,T1566 refers to the use of a command and control channel for data exfiltration in ICS environments.
Which technique in Mobile ATT&CK allows attackers to discover and list files and directories on a targeted mobile device?,Abuse Elevation Prevention Mechanisms,File and Directory Discovery,Local File System Access,Kernel Object Manipulation,B,T1134 involves the discovery and listing of files and directories on a mobile device by leveraging native features or tools.
"In Enterprise ATT&CK, which technique targets the command shell or scripting interpreter to execute commands?",Command and Scripting Interpreter,Command-Line Interface,Windows Management Instrumentation,Powershell,A,"T1059 refers to the use of a command shell or scripting interpreter, such as PowerShell or the Bash shell, to execute commands and perform various malicious activities."
"Which technique in ICS ATT&CK is aimed at gathering information about the targeted ICS system, including its hardware and software components?",Credential Harvesting,System Information Discovery,Reconnaissance,Process Discovery,B,"T1598 involves the active discovery and enumeration of system information, such as network interfaces, processes, and installed software, within an ICS environment."
5**,Risk Management,Threat Intelligence,Vulnerability Management,Incident Response,A,
1:**,Brute Force,Kerberoasting,Pass the Hash,SQL Injection,C,Pass the Hash (T1075) involves stealing the hash of a user's password and using it to create a duplicate authentication token.
2:**,Application Fingerprinting,Mobile Device Emulation,Screen Scraping,Side Channel Analysis,C,"Screen Scraping (T1523) involves recording and replaying a user's interactions with an application, allowing an attacker to extract sensitive data."
3:**,Risk Management,Infrastructure Security,Incident Response,Operations Security,B,"Infrastructure Security (ID.RA) aims to protect critical infrastructure elements from disruption, damage, or unauthorized access."
4:**,Firmware Modification,Remote Access Tool,Exploit Public-Facing Application,Spear Phishing,A,"Firmware Modification (T1564) involves altering the firmware of a device, typically to gain persistent access or modify its functionality."
"Which technique allows an attacker to escalate privileges by exploiting a vulnerability in an application's code?
",Privilege Escalation,DLL Hijacking,Shellcode Injection,Credential Theft,A,
 Which adversary tactic is used to establish a beacon to remotely control an infected system? **(Mobile)**,Credential Access,Discovery,Command and Control,Collection,C,Command and Control (TA0011) involves establishing and maintaining communication channels with an attacker-controlled server or infrastructure to remotely monitor and control the infected system.
 Which MITRE ATT&CK pattern technique (ID and full name) involves the use of malicious software that spreads across a network and exploits vulnerabilities? (ICS),T1055 - Network Share Discovery,T1068 - Remote Access Software,T1105 - Exploitation for Client Execution,T1098 - PowerShell,C,T1105 (Exploitation for Client Execution) is the MITRE ATT&CK pattern technique that involves the use of malicious software that spreads across a network and exploits vulnerabilities in order to execute arbitrary code on targeted systems.
Which of the following is a recommended practice for implementing the CSF? (Mobile),Conducting regular vulnerability assessments and penetration testing,Deploying a next-generation firewall (NGFW),Using a single password for all accounts,Disabling all security updates,A,The CSF recommends conducting regular vulnerability assessments and penetration testing to identify and mitigate security risks.
Which MITRE ATT&CK pattern technique (ID and full name) involves the use of a keylogger to capture user keystrokes? (Enterprise),T1056 - Input Capture,T1205 - Data from Local System,T1074 - Data Exfiltration,T1484 - Data Encrypted for Impact,A,
1:**,T1574,T1197,T1219,T1528,A,T1574 (Bypass Network Policies and Security Software) involves circumventing network security to access unauthorized resources.
2:**,Tailgating,Social Engineering,Phishing,SQL Injection,A,Tailgating (T1094) allows an attacker to physically access a secure area by following an authorized person through a secured door.
3:**,Code Injection,Data Exfiltration,Credential Access,Privilege Escalation,A,"Code Injection (T1066) grants attackers access to the internals of a mobile application, enabling them to manipulate its behavior."
4:**,Risk Prioritization,Risk Assessment Only,Threat Detection Only,Vulnerability Management Only,,"The CSF emphasizes prioritizing cybersecurity risks based on their potential impact, ensuring that resources are allocated appropriately."
5:**,Identify,Protect,Detect,Respond,,
1:**,"T1190, Exploit Public-Facing Application","T1191, Exploit Remote Services","T1192, Exploit Local User or Group","T1193, Exploit Misconfiguration",B,"T1191 (Exploit Remote Services) pertains to using known vulnerabilities in remote services, such as servers, to gain access to systems and compromise them."
2:**,Identity Management and Access Control,Data Protection,Situational Awareness,Risk Assessment,C,"Situational Awareness is a subcategory under the Detect Function, not the Protect Function."
3:**,"T1566, Phishing for Information","T1567, Phishing for Credentials","T1568, Phishing for Initial Access","T1569, Phishing for Fraud",C,T1568 (Phishing for Initial Access) is specifically designed to gain initial access to systems or networks through the use of spear-phishing emails.
 Which of the following is a key principle of the NIST Cybersecurity Framework for Industrial Control Systems (ICS)?,Cybersecurity should be integrated into all aspects of ICS operations.,ICS security should be based on a risk-based approach.,ICS security should prioritize safeguarding critical assets.,All of the above,D,All three options represent key principles of the NIST Cybersecurity Framework for ICS.
Which of the following is a key indicator of an adversary targeting an industrial control system (ICS) environment?,Unusual network activity on the human-machine interface (HMI),Unfamiliar IP addresses connecting to critical control systems,Presence of unexpected or unauthorized software,All of the above,D,"ICS environments are highly specialized, and any unusual or unauthorized activity can be an indicator of a cyberattack."
"Within MITRE ATT&CK Technique T1553.002 (Subvert Trust Controls: Code Signing), what specific malware family used a legally acquired certificate from Sectigo to appear legitimate?",Bazar,AppleJeus,QakBot,SpicyOmelette,B,
Which command can be used to remove the quarantine flag to subvert Gatekeeper?,xattr -r com.apple.quarantine,xattr -d com.apple.quarantine,rm -d com.apple.quarantine,chmod -d com.apple.quarantine,B,
Which technique has OSX/Shlayer used to bypass Gatekeeper's protection on opening a downloaded file?,Using curl command,Modified Info.plist file,Disabled Gatekeeper with spctl command,Used external libraries,C,
"What is one scenario in which the quarantine flag is not set, facilitating Gatekeeper bypass?",Files downloaded via App Store,Files downloaded via curl command,Application downloaded via email attachments,Application downloaded via browsers,B,
What extended attribute can be manually removed to subvert Gatekeeper checks?,com.apple.launchpermissions,com.apple.execflag,com.apple.quarantine,com.apple.securityflag,C,
"CoinTicker uses the curl command to download which malicious binary, facilitating Gatekeeper bypass?",MacMa,CoinTicker,OSX/Shlayer,EggShell,D,
Which file entry indicates an application does not use the quarantine flag under macOS?,LSFileQuarantineEnabled set to false LSLaunchAtLoginEnabled set to true,LSFileQuarantineEnabled not set,automaticQuarantineEnabled unspecified,WebProxyEnabled unknown,C,
What is the primary technique identified by MITRE ATT&CK ID T1553 for Defense Evasion?,Subvert Trust Controls,Credential Dumping,Execution Prevention,Privilege Escalation,A,Obfuscation/Deobfuscation techniques seek to conceal malicious code by employing sophisticated encryption or encoding algorithms.
Which mitigation strategy is recommended for preventing applications that haven’t been downloaded through legitimate repositories from running?,Operating System Configuration,Execution Prevention,Privileged Account Management,Software Configuration,B,"Data Encrypted for Impact aims to encrypt critical data or configurations, rendering them inaccessible until the decryption key is acquired, causing operational disruptions."
Which data source is useful for detecting malicious attempts to modify trust settings through command execution?,Command,File,Process Creation,Windows Registry,A,"Exploiting Remote Services involves identifying and taking advantage of vulnerabilities in network-facing components of a mobile device, enabling attackers to establish remote control over the device."
"In the context of Subvert Trust Controls, what should be periodically baselined to detect malicious modifications?",Installed software,File permissions,Registered SIPs and trust providers,Process creation,C,"While the CSF offers numerous benefits, it does not guarantee absolute protection against all cybersecurity threats, as threats are constantly evolving."
What mitigation technique details the management of root certificates through Windows Group Policy settings?,Execution Prevention,Privileged Account Management,Operating System Configuration,Restrict Registry Permissions,C,
Which detection method involves examining the removal of the com.apple.quarantine flag by a user on macOS?,File Metadata analysis,Process Creation monitoring,Windows Registry Key Creation analysis,File Modification monitoring,D,"All of the listed methods are commonly used in password cracking. Dictionary attacks use a list of common passwords, brute force attacks try every possible password combination, and rainbow table attacks pre-compute hashes for common passwords."
An attacker using MITRE ATT&CK Technique ID: T1539 is interested in which specific tactic?,Privilege Escalation,Credential Access,Initial Access,Execution,B,"Manufacturing industries rely heavily on industrial control systems (ICS), which are often vulnerable to firmware modification attacks that could disrupt operations or cause physical damage."
What is the primary objective an attacker aims to achieve with MITRE ATT&CK Technique T1539?,Gain administrator-level privileges,Steal web session cookies,Inject malware into the system,Launch a DDoS attack,B,"Distinguishing between legitimate logins and malicious credential reuse can be difficult, especially in environments with multiple users and complex network configurations."
Which identified malware family is capable of stealing session cookies and is labeled S0658?,CookieMiner,XCSSET,BLUELIGHT,QakBot,B,"Exposing internal IP addresses on the web allows attackers to discover and target ICS systems directly from the internet, bypassing external firewalls and other security measures."
"In the context of MITRE ATT&CK, which data source would be most useful to detect the creation of malicious container orchestration jobs? (Enterprise)",File - DS0003,Scheduled Job - DS0003,Container - DS0022,File - DS0032,B,
Which mitigation strategy specifically aims to ensure that containers are not running as root by default in the context of MITRE ATT&CK's scheduled task/job (T1053.007)? (Enterprise),Privileged Account Management - M1026,User Account Management - M1018,File Integrity Monitoring - M1056,Root Privilege Restriction - M1050,A,System Time Manipulation involves modifying the system time to bypass time-based controls or to create gaps in logging data.
"Regarding the MITRE ATT&CK technique T1053.006 for Enterprise platforms, what are systemd timers primarily used for by adversaries?",To automate user account creation on Linux systems.,To control network traffic flow systems.,To perform task scheduling for initial or recurring execution of malicious code.,To manage log files and rotate them automatically.,C,"Multiple techniques can be used to gain access to mobile devices, including social engineering, brute force attacks for weak passwords, and the use of legitimate credentials acquired through phishing or social engineering."
Which mitigation strategy for MITRE ATT&CK technique T1053.006 involves limiting user access to the 'systemctl' or 'systemd-run' utilities?,M1026 - Privileged Account Management,M1022 - Restrict File and Directory Permissions,M1018 - User Account Management,M1030 - Application Isolation and Sandboxing,C,
"In detecting malicious activities involving systemd timers (T1053.006) on the Enterprise platform, which of the following data sources would you monitor for unexpected modifications?",Command Execution,File Modification,Scheduled Job Creation,Process Creation,B,
"In the context of T1053.005 (Scheduled Task/Job: Scheduled Task), which procedure example involves the use of Windows Task Scheduler to launch ""CaddyWiper""?",Agent Tesla,2022 Ukraine Electric Power Attack,Anchor,AppleJeus,B,
"Regarding T1053.005, which threat actor utilized Windows Task Scheduler to load a .vbe file multiple times a day?",APT32,APT37,APT33,APT39,C,
"Under T1053.005, which described method can be used by adversaries to hide scheduled tasks from tools like schtasks /query?",Using obfuscated scripts,Changing the task name,Deleting the associated Security Descriptor (SD) registry value,None of the above,C,
"In T1053.005, which mitigation supports configuring scheduled tasks to run under the authenticated account instead of SYSTEM?",Privileged Account Management (M1026),User Account Management (M1018),Operating System Configuration (M1028),Audit (M1047),C,
Which detection method for T1053.005 focuses on monitoring newly constructed scheduled jobs by enabling specific event logging services?,Command Execution,File Creation,Process Creation,Scheduled Job Creation,D,
"For T1053.005, which data source is used to monitor for the creation of scheduled tasks that do not align with known software or patch cycles?",Network Traffic,Process,File,Windows Registry,C,
Which malware is known for using crontab for persistence if it does not have root privileges in Linux environments according to MITRE ATT&CK?,Janicab,SpeakUp,Exaramel for Linux,Kinsing,C,
What is the primary purpose of adversaries abusing the cron utility as described in MITRE ATT&CK technique T1053.003?,Data Exfiltration,Command and Control,Persistence,Evasion,C,
"According to MITRE ATT&CK, which mitigation involves reviewing changes to the cron schedule, particularly within the /var/log directory for cron execution logs?",Audit,Privileged Account Management,User Account Management,Execution Prevention,A,
MITRE ATT&CK technique T1053.003 involves creating and modifying scheduled tasks or jobs. Which data source can be used to detect command executions related to this technique?,Process,File,Command,Scheduled Job,C,
Which threat actor is documented by MITRE ATT&CK to have installed a cron job that downloaded and executed files from the command-and-control (C2) server?,APT38,Xbash,Rocke,Anchor,C,
Which group used the sp_addlinkedsrvlogin command during the 2016 Ukraine Electric Power Attack to create a link between a created account and other servers in the network? (MITRE ATT&CK: Enterprise),Calisto,HAFNIUM,Sandworm Team,Lazarus Group,C,
Which procedure example is associated with adding created accounts to local admin groups to maintain elevated access? (MITRE ATT&CK: Enterprise),APT3,Kimsuky,Magic Hound,Dragonfly,A,
What action does Mimikatz support that allows it to manipulate the password hash of an account without knowing the clear text value? (MITRE ATT&CK: Enterprise),LSADUMP::ChangeNTLM and LSADUMP::SetNTLM,WhiskeyDelta-Two,Skeleton Key,Mimikatz Dump Module,A,
Which mitigation suggests configuring access controls and firewalls to limit access to critical systems and domain controllers? (MITRE ATT&CK: Enterprise),Multi-factor Authentication,Privileged Account Management,Operating System Configuration,Network Segmentation,D,
"Which detection method involves monitoring events for changes to account objects and/or permissions on systems and the domain, such as event IDs 4738, 4728, and 4670? (MITRE ATT&CK: Enterprise)",Group Modification,Command Execution,Active Directory Object Modification,User Account Modification,D,
In which scenario might an adversary perform iterative password updates to bypass security policies and preserve compromised credentials? (MITRE ATT&CK: Enterprise),Account Manipulation,Credential Dumping,Account Discovery,Indicator Removal on Host,A,
"For MITRE ATT&CK technique T1029, some adversaries use which of the following exfiltration techniques alongside Scheduled Transfer to move data out of the network?",Exfiltration Over Physical Medium (T1052),Exfiltration Over Web Service (T1567),Exfiltration Over C2 Channel (T1041),Exfiltration Over Bluetooth (T1011),C,Pass the Hash (T1075) involves stealing the hash of a user's password and using it to create a duplicate authentication token.
"Which malware example specifically schedules its exfiltration behavior outside local business hours, according to T1029?",Cobal Strike (S0154),ComRAT (S0126),Flagpro (S0696),Dipsind (S0200),B,"Screen Scraping (T1523) involves recording and replaying a user's interactions with an application, allowing an attacker to extract sensitive data."
"Regarding MITRE ATT&CK T1029, which technique name corresponds to the ID T1029?",Scheduled Transfer,Exfiltration Over C2 Channel,Exfiltration Over Web Service,Exfiltration Over Alternative Protocol,A,"Infrastructure Security (ID.RA) aims to protect critical infrastructure elements from disruption, damage, or unauthorized access."
"According to the MITRE ATT&CK technique T1029, which mitigation strategy is recommended to prevent scheduled data exfiltration activities?",Application Isolation and Sandboxing,Endpoint Protection,Network Intrusion Prevention,Antivirus/Antimalware,C,"Firmware Modification (T1564) involves altering the firmware of a device, typically to gain persistent access or modify its functionality."
Which of the following techniques can be used by adversaries for event triggered execution as per MITRE ATT&CK? (Enterprise),T1546.014 - Microsoft Office Application Startup,T1546.013 - Emond,T1546.015 - Account Access Token Manipulation,T1546.011 - Application Shimming,D,
What legitimate tool can be abused by adversaries to install application shims on Windows?,sdbconfig.exe,shell32.dll,imagex.exe,sdbinst.exe,D,
How can application shims potentially be detected according to the MITRE ATT&CK framework? (Enterprise),Monitor STRACE logs for anomalies,Monitor executed commands and arguments for sdbinst.exe,Monitor changes in Group Policy settings,Monitor network traffic for irregular patterns,B,
Which of the following mitigations involves preventing applications from running that haven't been downloaded from legitimate repositories?,Audit,Execution Prevention,Operating System Configuration,User Account Control,B,"Persistence Through Registry (T1543) is used to modify registry settings, including persistence, in order to ensure the attacker's presence on the system after reboot or reinstallation."
Which data source is recommended for monitoring commands that may circumvent mechanisms designed to control elevation of privileges?,Command,File,Process,User Account,D,Command and Control (TA0011) involves establishing and maintaining communication channels with an attacker-controlled server or infrastructure to remotely monitor and control the infected system.
What does mitigation ID M1028 suggest to prevent privilege escalation exploits on a system?,Limiting privileges of cloud accounts,Preventing unsigned applications from running,Minimizing applications with setuid or setgid bits set,Enforcing the highest UAC level,C,"Cozy Bear (APT29/Nobelium) is known for its campaigns targeting government agencies and critical infrastructure, particularly in the United States, through tactics such as phishing, credential access, and malware deployment."
Which process creation is an indicator of potential SYSTEM privilege escalation according to the detection section?,C:\Windows\System32\services.exe,C:\Windows\System32\cmd.exe,C:\Windows\System32\rundll32.exe,C:\Windows\System32\notepad.exe,B,"Host-Based Intrusion Detection (T1619) involves analyzing system events, such as process creation, network traffic, and file access, to identify anomalous activities that may indicate malware presence."
"In a Linux environment, what is recommended to monitor for detecting privilege escalation via sudo?",Monitor Windows Registry Key Modification,Monitor OS API Execution,Monitor file metadata for setuid or setgid bits on files,Audit process metadata changes,C,"Discovery (TA0043) is the initial phase of reconnaissance, where adversaries gather information about the target system, including its operating system, installed software, network configuration, and potential vulnerabilities."
What mitigation ID suggests requiring a password every time sudo is executed to manage privileged accounts?,Audit,Privileged Account Management,Restrict File and Directory Permissions,User Account Management,B,Domain Generation Algorithms (T1592) is a technique where attackers use algorithms to generate domains that are difficult to detect and block.
"An adversary leveraging the technique ""Abuse Elevation Control Mechanism: Setuid and Setgid"" is targeting which systems from the MITRE ATT&CK Enterprise matrix?",Linux,Windows,macOS,Linux and macOS,D,"Exploiting ICS Software Design Flaws (T1190) leverages vulnerabilities in ICS software to compromise systems, allowing attackers to gain control or access sensitive information."
Which of the following commands would an adversary use to find files with the setgid bit set on a UNIX-based system?,find / -perm +4000 2>/dev/null,find / -perm +2000 2>/dev/null,ls -l | grep 's',"grep -R ""setgid"" /",A,"OS Credential Dumping (T1194) involves extracting credentials from the mobile device's operating system, such as password databases or keychain entries."
Which mitigation strategy from the MITRE ATT&CK framework is recommended to counteract the abuse of setuid and setgid bits?,M1028 - Ensure disk encryption,M1028 - Operating System Configuration,M1030 - Network Segmentation,M1040 - Application Isolation and Sandboxing,B,"Steganography (T1130) involves hiding sensitive data within other harmless data, such as images or documents, to evade detection. Splitting data into fragments and sending it through multiple channels is a common steganography technique."
Which data source should you monitor to detect changes indicating abuse of setuid or setgid bits on files?,DS0022 - Registry,DS0017 - Command execution,DS0035 - Network Traffic,DS0022 - File Metadata and Modification,D,
"Which mitigation technique, designated as M1026 under MITRE ATT&CK, should be implemented to limit permissions for users and user groups in creating tokens?",Configuring System File Integrity,Hardening Kernel Module Loading,Partitioning Network Assets,Privileged Account Management,D,
